PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2018;09;19;00009;V;00009;V;00009;V;00009;V;00009;V;00009;V;00010;V;00011;V;00014;V;00012;V;00012;V;00010;V;00008;V;00008;V;00007;V;00008;V;00008;V;00008;V;00008;V;00008;V;00000;N;00000;N;00000;N;00000;N
28;079;4;6;28079004_6_48;2018;09;19;000.4;V;000.4;V;000.3;V;000.3;V;000.2;V;000.3;V;000.3;V;000.5;V;000.9;V;000.7;V;000.6;V;000.5;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;4;7;28079004_7_8;2018;09;19;00010;V;00017;V;00008;V;00008;V;00005;V;00011;V;00018;V;00058;V;00206;V;00132;V;00087;V;00041;V;00026;V;00013;V;00009;V;00008;V;00011;V;00007;V;00003;V;00005;V;00000;N;00000;N;00000;N;00000;N
28;079;4;8;28079004_8_8;2018;09;19;00051;V;00055;V;00051;V;00042;V;00034;V;00029;V;00039;V;00054;V;00085;V;00071;V;00088;V;00078;V;00068;V;00048;V;00041;V;00035;V;00043;V;00039;V;00028;V;00052;V;00000;N;00000;N;00000;N;00000;N
28;079;4;12;28079004_12_8;2018;09;19;00067;V;00080;V;00062;V;00054;V;00041;V;00046;V;00067;V;00144;V;00400;V;00274;V;00220;V;00141;V;00108;V;00068;V;00054;V;00047;V;00061;V;00050;V;00032;V;00060;V;00000;N;00000;N;00000;N;00000;N
28;079;8;1;28079008_1_38;2018;09;19;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00005;V;00005;V;00004;V;00004;V;00004;V;00004;V;00004;V;00005;V;00004;V;00004;V;00004;V;00000;N;00000;N;00000;N;00000;N
28;079;8;6;28079008_6_48;2018;09;19;000.4;V;000.3;V;000.3;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;8;7;28079008_7_8;2018;09;19;00003;V;00002;V;00001;V;00001;V;00001;V;00001;V;00005;V;00021;V;00034;V;00049;V;00046;V;00030;V;00029;V;00016;V;00009;V;00007;V;00008;V;00006;V;00007;V;00007;V;00000;N;00000;N;00000;N;00000;N
28;079;8;8;28079008_8_8;2018;09;19;00056;V;00049;V;00043;V;00030;V;00018;V;00024;V;00042;V;00066;V;00077;V;00085;V;00082;V;00076;V;00079;V;00070;V;00047;V;00044;V;00054;V;00044;V;00057;V;00079;V;00000;N;00000;N;00000;N;00000;N
28;079;8;9;28079008_9_47;2018;09;19;00009;V;00011;V;00011;V;00008;V;00009;V;00009;V;00009;V;00008;V;00009;V;00011;V;00018;V;00015;V;00012;V;00014;V;00013;V;00008;V;00010;V;00016;V;00015;V;00019;V;00000;N;00000;N;00000;N;00000;N
28;079;8;10;28079008_10_47;2018;09;19;00016;V;00019;V;00016;V;00014;V;00014;V;00013;V;00015;V;00015;V;00018;V;00022;V;00033;V;00028;V;00026;V;00033;V;00029;V;00020;V;00022;V;00029;V;00032;V;00040;V;00000;N;00000;N;00000;N;00000;N
28;079;8;12;28079008_12_8;2018;09;19;00060;V;00053;V;00044;V;00032;V;00020;V;00026;V;00049;V;00098;V;00129;V;00160;V;00152;V;00123;V;00124;V;00095;V;00061;V;00054;V;00067;V;00054;V;00067;V;00090;V;00000;N;00000;N;00000;N;00000;N
28;079;8;14;28079008_14_6;2018;09;19;37.31;V;36.78;V;40.81;V;45.29;V;51.11;V;45.16;V;26.52;V;11.31;V;11.53;V;13.43;V;20.75;V;33.76;V;44.70;V;63.84;V;94.50;V;105.7;V;106.5;V;120.4;V;108.9;V;88.49;V;00000;N;00000;N;00000;N;00000;N
28;079;8;20;28079008_20_59;2018;09;19;149.6;V;124.8;V;084.1;V;114.5;V;148.8;V;099.4;V;031.4;V;016.4;V;013.0;V;010.7;V;008.9;V;004.7;V;005.0;V;005.7;V;003.3;V;002.2;V;002.5;V;002.3;V;002.3;V;002.4;V;00000;N;00000;N;00000;N;00000;N
28;079;8;30;28079008_30_59;2018;09;19;000.4;V;000.3;V;000.2;V;000.3;V;000.3;V;000.2;V;000.2;V;000.3;V;000.7;V;000.8;V;000.6;V;000.5;V;000.5;V;000.5;V;000.5;V;000.3;V;000.4;V;000.3;V;000.3;V;000.4;V;00000;N;00000;N;00000;N;00000;N
28;079;8;35;28079008_35_59;2018;09;19;000.5;V;000.5;V;000.3;V;000.7;V;000.8;V;000.4;V;000.2;V;000.2;V;000.4;V;000.5;V;000.5;V;000.6;V;000.7;V;000.7;V;000.4;V;000.2;V;000.3;V;000.2;V;000.3;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;8;42;28079008_42_2;2018;09;19;02.10;V;01.71;V;01.58;V;02.30;V;01.94;V;01.55;V;01.51;V;01.53;V;01.57;V;01.60;V;01.57;V;01.53;V;01.54;V;01.51;V;01.51;V;01.54;V;01.50;V;01.47;V;01.47;V;01.54;V;00000;N;00000;N;00000;N;00000;N
28;079;8;43;28079008_43_2;2018;09;19;01.46;V;01.45;V;01.44;V;01.45;V;01.43;V;01.43;V;01.45;V;01.45;V;01.46;V;01.46;V;01.45;V;01.43;V;01.43;V;01.44;V;01.47;V;01.49;V;01.45;V;01.42;V;01.41;V;01.41;V;00000;N;00000;N;00000;N;00000;N
28;079;8;44;28079008_44_2;2018;09;19;00.64;V;00.26;V;00.15;V;00.85;V;00.51;V;00.12;V;00.07;V;00.08;V;00.12;V;00.14;V;00.11;V;00.10;V;00.11;V;00.08;V;00.05;V;00.05;V;00.05;V;00.05;V;00.06;V;00.13;V;00000;N;00000;N;00000;N;00000;N
28;079;11;7;28079011_7_8;2018;09;19;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00003;V;00027;V;00024;V;00020;V;00036;V;00024;V;00025;V;00015;V;00015;V;00015;V;00015;V;00012;V;00012;V;00000;N;00000;N;00000;N;00000;N
28;079;11;8;28079011_8_8;2018;09;19;00037;V;00029;V;00031;V;00016;V;00011;V;00013;V;00025;V;00045;V;00071;V;00064;V;00053;V;00076;V;00078;V;00082;V;00061;V;00054;V;00058;V;00058;V;00060;V;00079;V;00000;N;00000;N;00000;N;00000;N
28;079;11;12;28079011_12_8;2018;09;19;00039;V;00031;V;00032;V;00017;V;00012;V;00015;V;00026;V;00050;V;00112;V;00101;V;00084;V;00131;V;00115;V;00120;V;00084;V;00076;V;00082;V;00080;V;00078;V;00098;V;00000;N;00000;N;00000;N;00000;N
28;079;11;20;28079011_20_59;2018;09;19;001.5;V;001.5;V;001.1;V;001.2;V;000.8;V;000.9;V;000.8;V;000.8;V;004.1;V;039.2;V;010.9;V;006.0;V;004.7;V;004.2;V;003.2;V;001.9;V;002.3;V;003.5;V;00000;N;005.8;V;00000;N;00000;N;00000;N;00000;N
28;079;11;30;28079011_30_59;2018;09;19;000.2;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.3;V;000.6;V;000.3;V;000.4;V;000.5;V;000.5;V;000.4;V;000.4;V;000.3;V;000.3;V;00000;N;003.1;V;00000;N;00000;N;00000;N;00000;N
28;079;11;35;28079011_35_59;2018;09;19;000.2;V;000.2;V;000.1;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.4;V;000.3;V;000.3;V;000.5;V;000.5;V;000.5;V;000.3;V;000.3;V;000.4;V;00000;N;000.1;V;00000;N;00000;N;00000;N;00000;N
28;079;16;6;28079016_6_48;2018;09;19;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.4;V;000.3;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.3;V;00000;N;00000;N;00000;N;00000;N
28;079;16;7;28079016_7_8;2018;09;19;00001;V;00005;V;00001;V;00001;V;00001;V;00001;V;00001;V;00007;V;00030;V;00028;V;00010;V;00019;V;00010;V;00011;V;00007;V;00004;V;00004;V;00012;V;00004;V;00005;V;00000;N;00000;N;00000;N;00000;N
28;079;16;8;28079016_8_8;2018;09;19;00047;V;00049;V;00044;V;00016;V;00012;V;00016;V;00026;V;00041;V;00060;V;00058;V;00045;V;00061;V;00046;V;00045;V;00038;V;00028;V;00029;V;00049;V;00041;V;00067;V;00000;N;00000;N;00000;N;00000;N
28;079;16;12;28079016_12_8;2018;09;19;00049;V;00057;V;00046;V;00017;V;00014;V;00018;V;00028;V;00051;V;00106;V;00101;V;00060;V;00090;V;00062;V;00061;V;00049;V;00035;V;00035;V;00067;V;00047;V;00076;V;00000;N;00000;N;00000;N;00000;N
